Appingedam
Nij Altoenae
Sint Jacobiparochie
Oude Bildtdijk Sint Jacobiparochie
Verspreide huizen Sint Annaparochie
Verspreide huizen Sint Jacobiparochie
Wijk 01 Oost
Vrouwenparochie
Oude Bildtzijl
Oude Bildtdijk Oude Bildtzijl
Nieuwe Bildtzijl en Nieuwe Bildtdijk
Verspreide huizen Vrouwenparochie
Verspreide huizen Oude Bildtzijl
Wijk 02 Zuid
Minnertsga
Verspreide huizen Minnertsga
Bolsward
Wijk 00
Bolsward binnen De Wallen
Bolsward-Noord
Bolsward-Zuidoost
Bolsward-Zuidwest
Bolsward-Noordoost
Verspreide huizen Bolsward
Franekeradeel
Wijk 00 Franeker
Franeker Binnenstad
Professorenbuurt
Stationsbuurt, O. en Z. industrieterrein
Vliet, Tuinen en Frisia
Kaatsersbuurt
C. van Saarloosstraat en omgeving
Hamburgerrak en Het Want
Schalsumerplan en Arkens
Watertoren, Bloemketerp en Zevenhuizen
Verspreide huizen Franeker
Wijk 01 Noord
Dongjum
Firdgum
Klooster-Lidlum
Oosterbierum
Tzummarum
Verspreide huizen Dongjum
Verspreide huizen Oosterbierum
Verspreide huizen Tzummarum
Wijk 02 Noordoost
Boer
Peins
Ried
Schalsum
Zweins
Verspreide huizen Peins
Verspreide huizen Ried
Wijk 03 Zuid
Achlum
Hitzum
Tzum
Verspreide huizen Achlum
Verspreide huizen Hitzum
Verspreide huizen Tzum
Wijk 04 West
Herbaijum
Pietersbierum
Sexbierum
Verspreide huizen Herbaijum
Verspreide huizen Pietersbierum
Verspreide huizen Sexbierum
Wijk 05 Franeker Zuidoost
Sexbierumerplan
't War, Witzens en Groot Lankum
Franeker-Zuid
Industriegeb. West en bedrijventerr. Kie
Harlingen
Wijk 00 Harlingen
De Spiker en het industrieterrein Hermes
Trebolbuurt
Plan-Zuid
Oosterpark
Koningsbuurt
Binnenstad
Industriehaven en omgeving
Verspreide huizen Harlingen
Wijk 01 Midlum
Midlum
Verspreide huizen Midlum
Wijk 02 Wijnaldum
Wijnaldum
Verspreide huizen Wijnaldum
Heerenveen
Wijk 01 Heerenveen
Kanaal
Leeuwarderstraatweg
Aengwirden
Businesspark Friesland
Nijehaske
Noord
Mobilisatieweg
Centrum
Het Meer
de Greiden
Midden
Skoaterwald
de Heide
de Akkers
ten Woude
Nieuweschoot
Zuid
Wijk 02 De Knipe
De Knipe
Wijk 03 Hoornsterzwaag
Hoornsterzwaag
Wijk 04 Jubbega
Jubbega De Streek
Jubbega 3e sluis
Wijk 05 Nieuwehorne
Nieuwehorne
Wijk 06 Oudehorne
Oudehorne
Wijk 07 Katlijk
Katlijk
Wijk 08 Gersloot
Gersloot
Wijk 09 Luinjeberd
Luinjeberd
Wijk 10 Terband
Terband
Wijk 11 Tjalleberd
Tjalleberd
Wijk 12 Oranjewoud
Oranjewoud
Wijk 13 Bontebok
Bontebok
Wijk 14 Mildam
Mildam
Wijk 15 Oudeschoot
Oudeschoot
Kollumerland en Nieuwkruisland
Wijk 00 Kollum
Kollum
Verspreide huizen Kollum
Wijk 01 Oost
Burum
Kollumerpomp
Warfstermolen
Munnekezijl
Augsbuurt
Verspreide huizen Burum
Verspreide huizen Kollumerpomp
Verspreide huizen Warfstermolen
Verspreide huizen Munnekezijl
Wijk 02 Noordwest
Oudwoude
Triemen
Westergeest
Verspreide huizen Oudwoude
Verspreide huizen Westergeest
Wijk 03 Zuidwest
Kollumerzwaag
Zwagerbosch
Veenklooster
Verspreide huizen Kollumerzwaag
Leeuwarden
Wijk 10 Binnenstad
De Waag
Nieuwestad
Oldehove
Grote Kerkbuurt
Hoek
Blokhuisplein
Zaailand
Stationskwartier
Wijk 20 Transvaalwijk & Rengerspark
Transvaalwijk
Bonifatius
Rengerspark
Wijk 21 Bilgaard & Havankpark e.o.
Bilgaard
Havankpark
Vierhuisterweg en omgeving
Wijk 22 Vrijheidswijk
Vrijheidswijk-West
Vrijheidswijk-Oost
Wijk 23 Lekkum en omgeving
Lekkum
Snakkerburen
Buitengebied Lekkum en Miedum
Wijk 24 Blitsaerd
Blitsaerd
Wijk 30 Oldegalileën & Bloemenbuurt
Oldegalileën
Bloemenbuurt
Wijk 31 Tjerk Hiddes & Cambuursterhoek
Cambuursterpad
Zamenhofpark
Cambuur
Wijk 32 't Vliet
Zeeheldenbuurt
Indische buurt
Molenpad
Welgelegen
Wijk 33 Oranjewijk & Tulpenburg
Tulpenburg
Oranjewijk
Wijk 34 Heechterp
Heechterp
Wijk 35 Schieringen & De Centrale
Schieringen
De Centrale
Wijk 36 Camminghaburen
Camminghaburen-Noord
Camminghaburen-Midden
Camminghaburen-Zuid
Wijk 37 Grote Wielen & Kleine Wielen
Grote Wielen
Kleine Wielen
Wijk 38 Bedrijventerrein-Oost
Hemrik
Wijk 40 Achter de Hoven
Achter de Hoven
Wijk 41 Schepenbuurt
Schepenbuurt
Wijk 42 Wielenpôlle
Wielenpôlle
Wijk 43 Huizum-Oost
Huizum-Dorp
Huizum-Sixma
Huizum-Bornia
Huizum-Badweg
Wijk 44 Huizum-West
Hollanderwijk
Gerard Dou
Julianapark
Jan van Scorelbuurt
Wijk 45 Aldlân
Aldlân-Oost
Aldlân-West
Rapenburg
Wijk 46 Nijlân
Nijlân
Wijk 50 Hempens, Teerns en omgeving
Hempens en Teerns
Buitengebied Hempens
Zuiderburen
Wijk 51 Wirdum & Swichum
Wirdum
Swichum
Buitengebied Wirdum
Wijk 52 Wytgaard en omgeving
Wytgaard
Buitengebied Wytgaard
Wijk 53 Goutum en De Zuidlanden
Goutum
De Zuidlanden
Techum
Wijk 60 Bedrijventerrein West
Harlingervaart
Zwette-Schenkenschans
Businesspark Leeuwarden
Newton
Toekomstig bedrijventerrein
Wijk 61 Vossepark & Helicon
Vossepark
Helicon
Wijk 62 Vogelwijk & Muziekwijk
Vogelwijk
Sonnenborgh
Wijk 63 Valeriuskwartier & Magere Weide
Valeriuskwartier
Magere Weide
Wijk 64 Westeinde
Westeinde
Wijk 65 Buitengebied Noordwest
Buitengebied Noordwest
Leeuwarderadeel
Wijk 00 Noord
Stiens
Finkum
Hijum
Verspreide huizen Stiens
Verspreide huizen Finkum
Verspreide huizen Hijum
Oude Leije
Wijk 01 Zuid
Britsum
Cornjum
Jelsum
Verspreide huizen Britsum
Verspreide huizen Cornjum
Verspreide huizen Jelsum
Lemsterland
Wijk 00 Lemmer
Lemmer Kom
Lemmer-West
Lemmer-Noord
Lemmer Rienplan
Lemmer Lemstervaart
Lemmer Zijlroede
Lemmer Frieslandpark en omgeving
Lemmer Buitengebied
Wijk 01 Buitendorpen
Eesterga en Follega
Oosterzee
Echtenerbrug Kom
Echten
Bantega
Delfstrahuizen Kom
Oosterzee Buitengebied
Verspreide huizen Echtenerbrug
Verspreide huizen Delfstrahuizen
Menaldumadeel
Wijk 00 Bouwhoek West
Menaldum
Dronrijp
Schingen
Slappeterp
Verspreide huizen Menaldum
Verspreide huizen Dronrijp
Wijk 01 Greidhoek
Marssum
Deinum
Blessum
Boksum
Verspreide huizen Marssum
Verspreide huizen Deinum
Verspreide huizen Boksum
Wijk 02 Tuinbouwgebied
Berlikum
Wier
Verspreide huizen Berlikum
Wijk 03 Bouwhoek Noord
Beetgum
Beetgumermolen
Engelum
Verspreide huizen Beetgum
Verspreide huizen Beetgumermolen
Ooststellingwerf
Wijk 00 Oosterwolde
Oosterwolde
Industriepark Oosterwolde
Verspreide huizen Oosterwolde
Wijk 01 Donkerbroek
Donkerbroek
Haule
Verspreide huizen Donkerbroek
Verspreide huizen Haule
Wijk 02 Makkinga
Makkinga
Elsloo
Langedijke
Verspreide huizen Makkinga
Verspreide huizen Elsloo
Wijk 03 Oldeberkoop
Oldeberkoop
Nijeberkoop
Verspreide huizen Nijeberkoop
Verspreide huizen Oldeberkoop
Wijk 04 Haulerwijk
Haulerwijk
Waskemeer
Verspreide huizen Haulerwijk
Verspreide huizen Waskemeer
Wijk 05 Appelscha
Appelscha
Ravenswoud
Fochteloo
Oud Appelscha
Verspreide huizen Appelscha
Verspreide huizen Ravenswoud
Verspreide huizen Fochteloo
Opsterland
Wijk 00 Gorredijk
Gorredijk
Verspreide huizen Gorredijk
Wijk 01 Langezwaag
Langezwaag
Luxwoude
Tijnje
Verspreide huizen Langezwaag
Verspreide huizen Luxwoude
Verspreide huizen Tijnje
Wijk 02 Terwispel
Terwispel
Nij beets
Verspreide huizen Terwispel
Verspreide huizen Nij Beets
Wijk 03 Beetsterzwaag
Beetsterzwaag
Olterterp
Lippenhuizen
Hemrik
Verspreide huizen Beetsterzwaag
Verspreide huizen Lippenhuizen
Verspreide huizen Hemrik
Wijk 04 Ureterp
Ureterp
Frieschepalen
Siegerswoude
Verspreide huizen Ureterp
Verspreide huizen Frieschepalen
Wijk 05 Bakkeveen
Bakkeveen
Wijnjewoude
Verspreide huizen Bakkeveen
Verspreide huizen Wijnjewoude-Oost
Verspreide huizen Wijnjewoude-West
Schiermonnikoog
Wijk 00
Schiermonnikoog
Verspreide huizen Schiermonnikoog
Smallingerland
Wijk 00 Drachten
Centrum
De Wiken
De Singels
De Drait
De Wiken-Oost
De Venen
De Folgeren
De Swetten
De Bouwen
Noordoost
De Haven
Buitengebied Drachten
De Trisken
Fennepark
Himsterhout
Bedrijvenpark
Vrijburg
Burmaniapark
Wijk 01 Overig Smallingerland
Opeinde
Rottevalle
Houtigehage
Drachtstercompagnie
Kortehemmen
Boornbergum
De Wilgen
Smalle Ee
De Veenhoop
Goëngahuizen
Oudega
Nijega
De Tike
Sneek
Wijk 00 Sneek
Sneek binnen de grachten
Stationsbuurt
Hemdijk
Noorderhoek I
Noorderhoek II
Noordoosthoek
Zwetteplan
Bomenbuurt
Omgeving Leeuwarderweg en bungalowpark
Stadsfenne
De Domp
Het Eiland
Sperkhem en industrieterrein Houkesloot
Lemmerweg-Oost
Lemmerweg-West
Tinga
Duinterpen
Offingawier
Loënga
IJsbrechtum
Terschelling
Wijk 00 West-Terschelling
West-Terschelling
Verspreide huizen West-Terschelling
Wijk 01 Midsland
Midsland
Verspreide huizen Midsland-Zuid
Verspreide huizen Midsland-Noord
Wijk 02 Formerum
Formerum
Verspreide huizen Formerum-Zuid
Verspreide huizen Formerum-Noord
Wijk 03 Lies
Lies
Verspreide huizen Lies-Zuid
Wijk 04 Hoorn
Koegelwieck
Hoorn
Verspreide huizen Hoorn-Zuid
Wijk 05 Oosterend
Oosterend
Verspreide huizen Oosterend-Zuid
De Boschplaat
Vlieland
Wijk 00
Oost-Vlieland
Verspreide huizen Vlieland
Weststellingwerf
Wijk 00 Wolvega
Wolvega
Verspreide huizen Wolvega
Wijk 01 Sonnega
Sonnega
Nijelamer
Nijeholtwolde
Oldeholtwolde
Ter Idzard
Verspreide huizen Sonnega
Verspreide huizen Nijelamer
Verspreide huizen Nijeholtwolde
Verspreide huizen Oldeholtwolde
Verspreide huizen Ter Idzard
Wijk 02 Helomavaart
Oldetrijne
Oldelamer
Verspreide huizen Oldetrijne
Verspreide huizen Oldelamer
Wijk 03 Munnekeburen
Munnekeburen
Nijetrijne
Langelille
Verspreide huizen Munnekeburen
Verspreide huizen Nijetrijne
Verspreide huizen Langelille
Wijk 04 Scherpenzeel
Scherpenzeel
Spanga
Slijkenburg
Verspreide huizen Scherpenzeel
Verspreide huizen Spanga
Wijk 05 Oldeholtpade
Oldeholtpade
Nijeholtpade
Verspreide huizen Oldeholtpade
Verspreide huizen Nijeholtpade
Wijk 06 Blesdijke
Blesdijke
De Blesse
Peperga
Verspreide huizen De Blesse
Verspreide huizen Blesdijke
